# index	name	x_px	y_px	z_norm	x_norm	y_norm
405		318.191886	224.939644	-0.005952	0.530320	0.585780
406		318.962109	232.656807	0.004017	0.531604	0.605877
407		325.770664	213.159142	0.002139	0.542951	0.555102
408		327.422333	212.554619	0.002012	0.545704	0.553528
409		328.875303	211.759071	0.001835	0.548126	0.551456
410		334.027362	208.494713	0.003319	0.556712	0.542955
411		359.502411	190.700787	0.023394	0.599171	0.496617
412		310.686886	149.589432	-0.025218	0.517811	0.389556
413		313.984430	136.530350	-0.008238	0.523307	0.355548
414		318.140996	136.897110	-0.003688	0.530235	0.356503
415		324.033737	213.663849	0.003849	0.540056	0.556416
416		360.280502	207.673759	0.045780	0.600468	0.540817
417		308.086503	137.171024	-0.023729	0.513478	0.357216
418		322.785723	239.577438	0.012054	0.537976	0.623900
419		305.997741	153.869339	-0.043493	0.509996	0.400701
420		315.681911	168.524300	-0.031256	0.526137	0.438865
421		312.111676	244.271713	0.006760	0.520186	0.636124
422		338.265681	224.888054	0.020777	0.563776	0.585646
423		329.637122	186.376064	-0.005240	0.549395	0.485354
424		331.217051	233.130318	0.017099	0.552028	0.607110
425		344.964087	185.224377	-0.000400	0.574940	0.482355
426		335.854876	193.644905	-0.001643	0.559758	0.504284
427		350.663173	196.592995	0.011865	0.584439	0.511961
428		314.561498	253.113304	0.009225	0.524269	0.659149
429	left_nasolabial_fold_center	319.907999	172.022392	-0.021711	0.533180	0.447975
430		344.247758	230.368813	0.033574	0.573746	0.599919
431		335.408270	239.339836	0.028007	0.559014	0.623281
432	left_nasolabial_fold_bottom	343.581676	215.642967	0.019920	0.572636	0.561570
433		366.461170	198.502991	0.054093	0.610769	0.516935
434		352.029884	216.295807	0.031954	0.586716	0.563270
435		369.753957	203.442146	0.083220	0.616257	0.529797
436		341.240072	202.831696	0.005969	0.568733	0.528208
437		315.143108	161.616119	-0.024423	0.525239	0.420875
438		315.542829	183.418900	-0.046139	0.525905	0.477653
439		319.964433	184.534504	-0.032583	0.533274	0.480559
440		312.383401	179.254761	-0.055562	0.520639	0.466809
441		319.520044	131.030399	-0.013281	0.532533	0.341225
